title,media,date,datetime,desc,link,img
"Wall Street drops, oil prices jump on Ukraine conflict worries ...",Investing.com,1 month ago,2022-02-20 12:31:20.097077,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/economy/asian-shares-fall-us-treasury-yields-hold-firm-after-us-inflation-data-2761922,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Opening Bell: Global Markets Plummet As Ukraine Tensions ...,Investing.com,1 month ago,2022-02-20 12:31:20.136088,"... Inc Equity - NASDAQ GOOGL Alphabet Inc Class A Equity - NASDAQ TSLA 
Tesla Inc Equity - NASDAQ TLKM Telkom Indonesia (Persero) Tbk PT Equity - 
Jakarta.",https://www.investing.com/analysis/opening-bell-global-markets-plummet-as-ukraine-tensions-soar-gold-usd-advance-200617894,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
ECB's Villeroy: ECB to do what is necessary to bring inflation ...,Investing.com,1 month ago,2022-02-20 12:31:20.174079,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/economy/ecbs-villeroy-ecb-to-do-whatever-it-takes-to-get-inflation-below-2-2745958,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
NZ Dollar Extends Slide: How Low Will It Go?,Investing.com,1 month ago,2022-02-20 12:31:20.207077,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/analysis/nz-dollar-extends-slide-how-low-will-it-go-200616321,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SEC rejects MicroStrategy's Bitcoin accounting practices ...,Investing.com,"an 22, 2022",,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/cryptocurrency-news/sec-rejects-microstrategys-bitcoin-accounting-practices-report-2745614,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
GSK rejects 50-billion-pound Unilever offer for consumer ...,Investing.com,"an 15, 2022",,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/stock-market-news/unilever-offers-50-billion-pounds-for-gsk-unit-report-2739800,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Tesco says 1,600 jobs at risk from store changes By Reuters",Investing.com,1 month ago,2022-02-20 12:31:20.254083,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/stock-market-news/tesco-says-1600-jobs-at-risk-from-store-changes-2754009,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
JPMorgan Stock Is A Lagging Leader,Investing.com,1 month ago,2022-02-20 12:31:21.099851,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/analysis/jpmorgan-stock-is-a-lagging-leader-200616462,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Microsoft employees jump ship for Meta as metaverse talent ...,Investing.com,"an 13, 2022",,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/cryptocurrency-news/microsoft-employees-jump-ship-for-meta-as-metaverse-talent-hunt-intensifies-2738449,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Bubble Fears for US Tech Stocks Surface in Deutsche Bank ...,Investing.com,"an 18, 2022",,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/stock-market-news/bubble-fears-for-us-tech-stocks-surface-in-deutsche-bank-poll-2741550,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4 NFT Earning Strategies in The Metaverse World By CoinQuora,Investing.com,"an 18, 2022",,"TLKM Telkom Indonesia (Persero) Tbk PT Equity - Jakarta AAPL Apple Inc 
Equity - NASDAQ FB Meta Platforms Inc Equity - NASDAQ GOOGL Alphabet Inc 
Class A...",https://www.investing.com/news/cryptocurrency-news/4-nft-earning-strategies-in-the-metaverse-world-2741483,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
